NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Bridgewater,40.626247,-74.653535,32.9,1/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/2/2011,0.04
Bridgewater,40.626247,-74.653535,32.9,1/3/2011,0.02
Bridgewater,40.626247,-74.653535,32.9,1/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/7/2011,0.03
Bridgewater,40.626247,-74.653535,32.9,1/8/2011,0.05
Bridgewater,40.626247,-74.653535,32.9,1/9/2011,0.03
Bridgewater,40.626247,-74.653535,32.9,1/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/12/2011,0.38
Bridgewater,40.626247,-74.653535,32.9,1/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/17/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/18/2011,0.48
Bridgewater,40.626247,-74.653535,32.9,1/19/2011,0.42
Bridgewater,40.626247,-74.653535,32.9,1/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/21/2011,0.39
Bridgewater,40.626247,-74.653535,32.9,1/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/24/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/26/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,1/27/2011,1.25
Bridgewater,40.626247,-74.653535,32.9,1/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,1/30/2011,0.03
Bridgewater,40.626247,-74.653535,32.9,1/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/1/2011,0.03
Bridgewater,40.626247,-74.653535,32.9,2/2/2011,0.72
Bridgewater,40.626247,-74.653535,32.9,2/3/2011,0.05
Bridgewater,40.626247,-74.653535,32.9,2/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/6/2011,0.31
Bridgewater,40.626247,-74.653535,32.9,2/7/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/8/2011,0.07
Bridgewater,40.626247,-74.653535,32.9,2/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/17/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/19/2011,0.03
Bridgewater,40.626247,-74.653535,32.9,2/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/21/2011,0.18
Bridgewater,40.626247,-74.653535,32.9,2/22/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/24/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/25/2011,0.55
Bridgewater,40.626247,-74.653535,32.9,2/26/2011,0.6
Bridgewater,40.626247,-74.653535,32.9,2/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,2/28/2011,0.23
Bridgewater,40.626247,-74.653535,32.9,3/1/2011,0.16
Bridgewater,40.626247,-74.653535,32.9,3/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/7/2011,2.28
Bridgewater,40.626247,-74.653535,32.9,3/8/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/10/2011,0.12
Bridgewater,40.626247,-74.653535,32.9,3/11/2011,1.96
Bridgewater,40.626247,-74.653535,32.9,3/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/16/2011,0.33
Bridgewater,40.626247,-74.653535,32.9,3/17/2011,0.17
Bridgewater,40.626247,-74.653535,32.9,3/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/19/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/21/2011,0.11
Bridgewater,40.626247,-74.653535,32.9,3/22/2011,0.38
Bridgewater,40.626247,-74.653535,32.9,3/23/2011,
Bridgewater,40.626247,-74.653535,32.9,3/24/2011,0.57
Bridgewater,40.626247,-74.653535,32.9,3/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/30/2011,0
Bridgewater,40.626247,-74.653535,32.9,3/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/1/2011,0.12
Bridgewater,40.626247,-74.653535,32.9,4/2/2011,0.13
Bridgewater,40.626247,-74.653535,32.9,4/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/4/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,4/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/6/2011,0.19
Bridgewater,40.626247,-74.653535,32.9,4/7/2011,0.16
Bridgewater,40.626247,-74.653535,32.9,4/8/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/9/2011,0.33
Bridgewater,40.626247,-74.653535,32.9,4/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/13/2011,1.7
Bridgewater,40.626247,-74.653535,32.9,4/14/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,4/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/17/2011,2.49
Bridgewater,40.626247,-74.653535,32.9,4/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/19/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/20/2011,0.17
Bridgewater,40.626247,-74.653535,32.9,4/21/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/22/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/23/2011,0.23
Bridgewater,40.626247,-74.653535,32.9,4/24/2011,0.5
Bridgewater,40.626247,-74.653535,32.9,4/25/2011,0.91
Bridgewater,40.626247,-74.653535,32.9,4/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,4/27/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,4/28/2011,0.17
Bridgewater,40.626247,-74.653535,32.9,4/29/2011,0.38
Bridgewater,40.626247,-74.653535,32.9,4/30/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/4/2011,0.12
Bridgewater,40.626247,-74.653535,32.9,5/5/2011,0.52
Bridgewater,40.626247,-74.653535,32.9,5/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/7/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/8/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/15/2011,0.79
Bridgewater,40.626247,-74.653535,32.9,5/16/2011,0.94
Bridgewater,40.626247,-74.653535,32.9,5/17/2011,0.33
Bridgewater,40.626247,-74.653535,32.9,5/18/2011,0.51
Bridgewater,40.626247,-74.653535,32.9,5/19/2011,0.48
Bridgewater,40.626247,-74.653535,32.9,5/20/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,5/21/2011,0.14
Bridgewater,40.626247,-74.653535,32.9,5/22/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,5/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/24/2011,0.14
Bridgewater,40.626247,-74.653535,32.9,5/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/30/2011,0.33
Bridgewater,40.626247,-74.653535,32.9,5/31/2011,0
